from,to,anno,tipo,sigla_prov_from,cod_prov_from,sigla_prov_to,cod_prov_to,data_evento
006113,006113,2025,CD-Cambio denominazione,AL,006,AL,006,10/10/2025
090001,113001,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090002,113003,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090003,112001,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090004,112002,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090005,112003,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090006,113004,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090007,112004,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090008,112005,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090009,113006,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090010,112006,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090011,112007,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090012,112008,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090013,112009,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090014,113007,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090015,112010,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090016,112011,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090017,113008,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090018,112012,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090019,112013,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090020,112014,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090021,113010,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090022,112015,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090023,112016,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090024,112017,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090025,112018,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090026,112019,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090027,112020,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090028,112022,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090029,112023,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090030,112024,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090031,112025,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090032,112026,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090033,112027,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090034,112028,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090035,113012,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090036,113014,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090037,113015,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090038,112029,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090039,112030,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090040,112031,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090041,113016,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090042,112032,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090043,112033,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090044,112034,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090045,112035,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090046,112036,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090047,113017,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090048,112037,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090049,113018,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090050,112038,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090051,112039,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090052,112040,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090053,112041,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090054,113020,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090055,112042,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090056,112043,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090057,112044,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090058,112045,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090059,112046,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090060,112047,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090061,112048,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090062,113002,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090063,113022,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090064,112050,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090065,112051,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090066,112052,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090067,112053,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090068,112054,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090069,112055,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
090070,113025,2025,AP-Cambio appartenenza Provincia,SS,090,OT,113,17/07/2025
090071,112058,2025,RN-Rinumerazione del codice statistico,SS,090,SS,312,17/07/2025
