event_id,tipo_var,anno_evento,data_evento,sigla_prov_from,cod_prov_from,sigla_prov_to,cod_prov_to,from,to
EV_2025_CD-Cambio_denominazione_006113_006113_10-10-2025,CD-Cambio denominazione,2025,10/10/2025,AL,006,AL,006,006113,006113
EV_2025_AP-Cambio_appartenenza_Provincia_090001_113001_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090001,113001
EV_2025_AP-Cambio_appartenenza_Provincia_090002_113003_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090002,113003
EV_2025_RN-Rinumerazione_del_codice_statistico_090003_112001_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090003,112001
EV_2025_RN-Rinumerazione_del_codice_statistico_090004_112002_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090004,112002
EV_2025_RN-Rinumerazione_del_codice_statistico_090005_112003_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090005,112003
EV_2025_AP-Cambio_appartenenza_Provincia_090006_113004_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090006,113004
EV_2025_RN-Rinumerazione_del_codice_statistico_090007_112004_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090007,112004
EV_2025_RN-Rinumerazione_del_codice_statistico_090008_112005_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090008,112005
EV_2025_AP-Cambio_appartenenza_Provincia_090009_113006_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090009,113006
EV_2025_RN-Rinumerazione_del_codice_statistico_090010_112006_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090010,112006
EV_2025_RN-Rinumerazione_del_codice_statistico_090011_112007_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090011,112007
EV_2025_RN-Rinumerazione_del_codice_statistico_090012_112008_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090012,112008
EV_2025_RN-Rinumerazione_del_codice_statistico_090013_112009_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090013,112009
EV_2025_AP-Cambio_appartenenza_Provincia_090014_113007_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090014,113007
EV_2025_RN-Rinumerazione_del_codice_statistico_090015_112010_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090015,112010
EV_2025_RN-Rinumerazione_del_codice_statistico_090016_112011_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090016,112011
EV_2025_AP-Cambio_appartenenza_Provincia_090017_113008_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090017,113008
EV_2025_RN-Rinumerazione_del_codice_statistico_090018_112012_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090018,112012
EV_2025_RN-Rinumerazione_del_codice_statistico_090019_112013_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090019,112013
EV_2025_RN-Rinumerazione_del_codice_statistico_090020_112014_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090020,112014
EV_2025_AP-Cambio_appartenenza_Provincia_090021_113010_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090021,113010
EV_2025_RN-Rinumerazione_del_codice_statistico_090022_112015_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090022,112015
EV_2025_RN-Rinumerazione_del_codice_statistico_090023_112016_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090023,112016
EV_2025_RN-Rinumerazione_del_codice_statistico_090024_112017_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090024,112017
EV_2025_RN-Rinumerazione_del_codice_statistico_090025_112018_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090025,112018
EV_2025_RN-Rinumerazione_del_codice_statistico_090026_112019_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090026,112019
EV_2025_RN-Rinumerazione_del_codice_statistico_090027_112020_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090027,112020
EV_2025_RN-Rinumerazione_del_codice_statistico_090028_112022_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090028,112022
EV_2025_RN-Rinumerazione_del_codice_statistico_090029_112023_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090029,112023
EV_2025_RN-Rinumerazione_del_codice_statistico_090030_112024_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090030,112024
EV_2025_RN-Rinumerazione_del_codice_statistico_090031_112025_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090031,112025
EV_2025_RN-Rinumerazione_del_codice_statistico_090032_112026_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090032,112026
EV_2025_RN-Rinumerazione_del_codice_statistico_090033_112027_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090033,112027
EV_2025_RN-Rinumerazione_del_codice_statistico_090034_112028_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090034,112028
EV_2025_AP-Cambio_appartenenza_Provincia_090035_113012_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090035,113012
EV_2025_AP-Cambio_appartenenza_Provincia_090036_113014_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090036,113014
EV_2025_AP-Cambio_appartenenza_Provincia_090037_113015_17-07-2025,AP-Cambio appartenenza Provincia,2025,17/07/2025,SS,090,OT,113,090037,113015
EV_2025_RN-Rinumerazione_del_codice_statistico_090038_112029_17-07-2025,RN-Rinumerazione del codice statistico,2025,17/07/2025,SS,090,SS,312,090038,112029
