anno_evento,data_evento,tipo_var,sigla_prov,cod_prov,cod_com,sigla_prov_ass,cod_prov_ass,cod_com_ass
2025,10/10/2025,CD-Cambio denominazione,AL,006,006113,AL,006,006113
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090001,OT,113,113001
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090002,OT,113,113003
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090003,SS,312,112001
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090004,SS,312,112002
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090005,SS,312,112003
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090006,OT,113,113004
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090007,SS,312,112004
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090008,SS,312,112005
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090009,OT,113,113006
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090010,SS,312,112006
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090011,SS,312,112007
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090012,SS,312,112008
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090013,SS,312,112009
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090014,OT,113,113007
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090015,SS,312,112010
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090016,SS,312,112011
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090017,OT,113,113008
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090018,SS,312,112012
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090019,SS,312,112013
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090020,SS,312,112014
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090021,OT,113,113010
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090022,SS,312,112015
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090023,SS,312,112016
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090024,SS,312,112017
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090025,SS,312,112018
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090026,SS,312,112019
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090027,SS,312,112020
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090028,SS,312,112022
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090029,SS,312,112023
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090030,SS,312,112024
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090031,SS,312,112025
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090032,SS,312,112026
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090033,SS,312,112027
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090034,SS,312,112028
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090035,OT,113,113012
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090036,OT,113,113014
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090037,OT,113,113015
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090038,SS,312,112029
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090039,SS,312,112030
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090040,SS,312,112031
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090041,OT,113,113016
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090042,SS,312,112032
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090043,SS,312,112033
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090044,SS,312,112034
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090045,SS,312,112035
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090046,SS,312,112036
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090047,OT,113,113017
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090048,SS,312,112037
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090049,OT,113,113018
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090050,SS,312,112038
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090051,SS,312,112039
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090052,SS,312,112040
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090053,SS,312,112041
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090054,OT,113,113020
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090055,SS,312,112042
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090056,SS,312,112043
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090057,SS,312,112044
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090058,SS,312,112045
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090059,SS,312,112046
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090060,SS,312,112047
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090061,SS,312,112048
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090062,OT,113,113002
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090063,OT,113,113022
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090064,SS,312,112050
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090065,SS,312,112051
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090066,SS,312,112052
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090067,SS,312,112053
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090068,SS,312,112054
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090069,SS,312,112055
2025,17/07/2025,AP-Cambio appartenenza Provincia,SS,090,090070,OT,113,113025
2025,17/07/2025,RN-Rinumerazione del codice statistico,SS,090,090071,SS,312,112058
